SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,9607 Seeker St,Houston,TX,77078,187000,3,2.0,Glenwood Forest Sec 01,1198,7632,1975,5,156,,Active,,,https://www.redfin.com/TX/Houston/9607-Seeker-St-77078/home/30231366,HARMLS,61574101,N,Y,29.8512159,-95.2731985
MLS Listing,,Condo/Co-op,815 Kipling St #205,Houston,TX,77006,189900,1,1.0,Kipling Arms Condo,630,13186,1968,5,301,285,Active,,,https://www.redfin.com/TX/Houston/815-Kipling-St-77006/unit-205/home/160361499,HARMLS,63278263,N,Y,29.7402825,-95.3893901
MLS Listing,,Single Family Residential,5646 Yale St,Houston,TX,77076,165000,3,1.0,North Park,1145,7035,1950,5,144,,Active,,,https://www.redfin.com/TX/Houston/5646-Yale-St-77076/home/30036287,HARMLS,88932804,N,Y,29.8491033,-95.4028071
MLS Listing,,Single Family Residential,5210 Anzio Rd,Houston,TX,77033,179999,3,1.0,South Park Sec 02,1040,7920,1956,5,173,,Active,,,https://www.redfin.com/TX/Houston/5210-Anzio-Rd-77033/home/30015380,HARMLS,78257629,N,Y,29.6792422,-95.3389438
MLS Listing,,Single Family Residential,7032 Rook Blvd,Houston,TX,77087,198000,4,2.0,Bayou Oaks,1584,10227,1971,5,125,,Active,,,https://www.redfin.com/TX/Houston/7032-Rook-Blvd-77087/home/30004718,HARMLS,97465988,N,Y,29.6687033,-95.3041449
MLS Listing,,Single Family Residential,6929 Avenue K,Houston,TX,77011,224990,2,2.0,Central Park,1126,4200,1930,5,200,,Active,,,https://www.redfin.com/TX/Houston/6929-Avenue-K-77011/home/29769470,HARMLS,98711571,N,Y,29.7428601,-95.3002247
MLS Listing,,Single Family Residential,7217 Parker Rd,Houston,TX,77016,185000,4,1.0,Scenic Woods,1296,7349,1954,5,143,,Active,,,https://www.redfin.com/TX/Houston/7217-Parker-Rd-77016/home/30085025,HARMLS,75398658,N,Y,29.8579959,-95.2985011
MLS Listing,,Single Family Residential,6218 Ridgeway Dr,Houston,TX,77087,214990,4,2.0,Overbrook Sec 08,1290,6168,1955,5,167,,Active,,,https://www.redfin.com/TX/Houston/6218-Ridgeway-Dr-77087/home/30082534,HARMLS,26541899,N,Y,29.667832,-95.316793
MLS Listing,,Single Family Residential,2506 Garwood Dr,Houston,TX,77091,109000,2,1.0,Dexter Place,910,5330,1955,6,120,,Active,,,https://www.redfin.com/TX/Houston/2506-Garwood-Dr-77091/home/30052247,HARMLS,97449472,N,Y,29.8626043,-95.4493003
MLS Listing,,Single Family Residential,2426 Mann St,Houston,TX,77093,179900,2,1.0,Patton U/r,986,10427,1947,6,182,,Active,,,https://www.redfin.com/TX/Houston/2426-Mann-St-77093/home/29845353,HARMLS,24616316,N,Y,29.8318084,-95.3468359
MLS Listing,,Condo/Co-op,8299 Cambridge St #1101,Houston,TX,77054,125000,1,1.5,Sherbrooke Square T/h Condo 02,852,54785,1981,7,147,374,Active,,,https://www.redfin.com/TX/Houston/8299-Cambridge-St-77054/unit-1101/home/30511399,HARMLS,97249249,N,Y,29.686939,-95.394865
