Property URL,MLS ID,Listing description,Property type,Number of days on Zillow,Property price (USD),Price was cut,Price cut amount (USD),Price cut date (MM/DD/YYYY),Living area,Living area unit,Price per living area unit (USD),Lot/land area,Lot/land area unit,Bedrooms,Bathrooms,Broker name,Broker agent,Street address,City,Zip,State,Country
https://www.zillow.com/homedetails/720-Redan-St-Houston-TX-77009/27788203_zpid/,,House for sale,Single Family,2,725000,No,,,1288,sqft,562.89,6250.86,sqft,3,2,Boulevard Realty,,720 Redan St,Houston,77009,TX,USA
https://www.zillow.com/homedetails/13310-Lake-Ridge-Dr-Richmond-TX-77469/176582960_zpid/,,House for sale,Single Family,,500000,No,,,2422,sqft,206.44,1.03,acres,4,3,Keller Williams Realty -SW,,13310 Lake Ridge Dr,Richmond,77469,TX,USA
https://www.zillow.com/homedetails/2554-Oakleaf-Ash-Ln-Fresno-TX-77545/251444881_zpid/,,House for sale,Single Family,,279500,Yes,5499,06/14/2023,1650,sqft,169.39,4948.42,sqft,3,2,Summit Realty,,2554 Oakleaf Ash Ln,Fresno,77545,TX,USA
https://www.zillow.com/homedetails/20835-Cottage-Cove-Ln-Katy-TX-77450/82727669_zpid/,,House for sale,Single Family,,549000,No,,,2871,sqft,191.22,8119.58,sqft,4,3,Coldwell Banker Realty,,20835 Cottage Cove Ln,Katy,77450,TX,USA
https://www.zillow.com/homedetails/6491-Calgary-Woods-Ln-Katy-TX-77494/117506007_zpid/,,Townhouse for sale,Townhouse,8,339000,No,,,1567,sqft,216.34,4716,sqft,3,3,FYI Realty-Katy,,6491 Calgary Woods Ln,Katy,77494,TX,USA
https://www.zillow.com/homedetails/9019-Ilona-Ln-Houston-TX-77025/27981936_zpid/,,House for sale,Single Family,,577000,No,,,1746,sqft,330.47,8685.86,sqft,3,2,Texas Legacy Properties,,9019 Ilona Ln,Houston,77025,TX,USA
https://www.zillow.com/homedetails/7575-Katy-Fwy-APT-71-Houston-TX-77024/28300753_zpid/,,Condo for sale,Condominium,5,188000,No,,,1163,sqft,161.65,,,2,2,"Luxe Living Group, LLC",,7575 Katy Fwy APT 71,Houston,77024,TX,USA
https://www.zillow.com/homedetails/4754-Maggie-St-Houston-TX-77033/27948734_zpid/,,House for sale,Single Family,7,125000,No,,,1284,sqft,97.35,5941.58,sqft,3,1,Keller Williams Professionals,,4754 Maggie St,Houston,77033,TX,USA
https://www.zillow.com/homedetails/4224-Belle-Park-Dr-Houston-TX-77072/2057153382_zpid/,,Condo for sale,Condominium,3,135000,No,,,1426,sqft,94.67,1437,sqft,2,2,Forever Realty,,4224 Belle Park Dr,Houston,77072,TX,USA
https://www.zillow.com/homedetails/11327-Stroud-Dr-Houston-TX-77072/28128252_zpid/,,House for sale,Single Family,,268000,Yes,10900,06/14/2023,1500,sqft,178.67,6930.4,sqft,4,2,"eXp Realty, LLC",,11327 Stroud Dr,Houston,77072,TX,USA
https://www.zillow.com/homedetails/2828-Leeland-St-Houston-TX-77003/84068237_zpid/,,House for sale,Single Family,11,380000,No,,,1804,sqft,210.64,1846.94,sqft,3,3,"Grade A Realty, LLC",,2828 Leeland St,Houston,77003,TX,USA
https://www.zillow.com/homedetails/811-Strange-Dr-Richmond-TX-77406/27554649_zpid/,,House for sale,Single Family,42,295000,No,,,2278,sqft,129.5,0.7,acres,3,2,"Weichert,REALTORS-Murray Group",,811 Strange Dr,Richmond,77406,TX,USA
https://www.zillow.com/homedetails/919-W-23rd-St-Houston-TX-77008/80589003_zpid/,,House for sale,Single Family,1,525000,No,,,2061,sqft,254.73,2443.72,sqft,3,3,BHGRE Gary Greene,,919 W 23rd St,Houston,77008,TX,USA
https://www.zillow.com/homedetails/1207-Atlanta-Dr-Richmond-TX-77406/27564551_zpid/,,House for sale,Single Family,4,424000,No,,,2992,sqft,141.71,6098.4,sqft,4,4,Goldenlight Realty,,1207 Atlanta Dr,Richmond,77406,TX,USA
https://www.zillow.com/homedetails/2715-Sable-Ct-Pearland-TX-77584/59768490_zpid/,,House for sale,Single Family,,680000,Yes,15000,06/09/2023,3847,sqft,176.76,0.28,acres,4,4,NB Elite Realty,,2715 Sable Ct,Pearland,77584,TX,USA
https://www.zillow.com/homedetails/14467-Basalt-Ln-Houston-TX-77077/89642528_zpid/,,House for sale,Single Family,1,489000,No,,,3236,sqft,151.11,3916.04,sqft,3,4,"Compass RE Texas, LLC",,14467 Basalt Ln,Houston,77077,TX,USA
https://www.zillow.com/homedetails/2818-Youpon-Glen-Way-Fresno-TX-77545/65719380_zpid/,,House for sale,Single Family,,332500,Yes,7400,06/09/2023,2829,sqft,117.53,7344.22,sqft,5,3,CR Elite Realty,,2818 Youpon Glen Way,Fresno,77545,TX,USA
https://www.zillow.com/homedetails/11511-Caesar-Dr-Stafford-TX-77477/28341953_zpid/,,House for sale,Single Family,94,279500,Yes,10500,12/07/2022,2328,sqft,120.06,6300,sqft,3,2,BHGRE Gary Greene,,11511 Caesar Dr,Stafford,77477,TX,USA
https://www.zillow.com/homedetails/10806-Meadow-Lake-Ln-Houston-TX-77042/28146965_zpid/,,House for sale,Single Family,,444000,Yes,6000,06/06/2023,2221,sqft,199.91,8267.69,sqft,3,3,RE/MAX Universal,,10806 Meadow Lake Ln,Houston,77042,TX,USA
https://www.zillow.com/homedetails/4606-Omeara-Dr-Houston-TX-77035/28038990_zpid/,,House for sale,Single Family,3,495000,No,,,2721,sqft,181.92,0.26,acres,4,3,Aiméezing Properties,,4606 Omeara Dr,Houston,77035,TX,USA
https://www.zillow.com/homedetails/1142-Pecos-Pass-Dr-Richmond-TX-77406/80045409_zpid/,,House for sale,Single Family,4,279000,No,,,1448,sqft,192.68,5998.21,sqft,3,2,Summit Realty,,1142 Pecos Pass Dr,Richmond,77406,TX,USA
https://www.zillow.com/homedetails/2110-Wilcrest-Dr-APT-222-Houston-TX-77042/28324539_zpid/,,Townhouse for sale,Townhouse,1,137500,No,,,925,sqft,148.65,2.32,acres,2,2,Las Lomas Realty Elite,,2110 Wilcrest Dr APT 222,Houston,77042,TX,USA
https://www.zillow.com/homedetails/5402-Pointed-Leaf-Dr-Missouri-City-TX-77459/122512448_zpid/,,House for sale,Single Family,,599990,No,,,3552,sqft,168.92,0.34,acres,5,4,HomeSmart,,5402 Pointed Leaf Dr,Missouri City,77459,TX,USA
https://www.zillow.com/homedetails/9619-Carson-Ln-Iowa-Colony-TX-77583/242005733_zpid/,,House for sale,Single Family,,460000,No,,,2814,sqft,163.47,0.27,acres,4,4,Glass House Realty LLC,,9619 Carson Ln,Iowa Colony,77583,TX,USA
https://www.zillow.com/homedetails/5019-Taynard-Manor-Dr-Sugar-Land-TX-77479/2057124029_zpid/,,New construction,Unknown,1,977463,No,,,4050,sqft,241.35,8861,sqft,5,6,"eXp Realty, LLC",,5019 Taynard Manor Dr,Sugar Land,77479,TX,USA
https://www.zillow.com/homedetails/11510-Tarvie-Path-Richmond-TX-77407/176800971_zpid/,,House for sale,Single Family,,869900,No,,,3948,sqft,220.34,0.48,acres,4,5,"BlueRoof Real Estate, LLC",,11510 Tarvie Path,Richmond,77407,TX,USA
https://www.zillow.com/homedetails/10202-Forum-Park-Dr-APT-299-Houston-TX-77036/28358654_zpid/,,Condo for sale,Condominium,5,57000,No,,,754,sqft,75.6,3.49,acres,1,1,Anastasia Realty Group,,10202 Forum Park Dr APT 299,Houston,77036,TX,USA
https://www.zillow.com/homedetails/2827-E-Birchdale-Dr-Missouri-City-TX-77489/27594923_zpid/,,House for sale,Single Family,27,219000,No,,,1582,sqft,138.43,8119.58,sqft,3,2,"eXp Realty, LLC",,2827 E Birchdale Dr,Missouri City,77489,TX,USA
https://www.zillow.com/homedetails/3839-Aerial-Brook-Trl-Fresno-TX-77545/82718947_zpid/,,House for sale,Single Family,,245000,Yes,5000,06/10/2023,1657,sqft,147.86,8164,sqft,3,2,Realty Associates,,3839 Aerial Brook Trl,Fresno,77545,TX,USA
https://www.zillow.com/homedetails/21602-Oleaster-Springs-Ln-Richmond-TX-77469/118402750_zpid/,,House for sale,Single Family,,485000,Yes,14900,06/15/2023,3455,sqft,140.38,0.29,acres,4,3,Orchard Brokerage,,21602 Oleaster Springs Ln,Richmond,77469,TX,USA
https://www.zillow.com/homedetails/11921-Longwood-Garden-Way-Houston-TX-77047/80535645_zpid/,,House for sale,Single Family,10,271000,No,,,2196,sqft,123.41,4038.01,sqft,4,3,"Opendoor Brokerage, LLC",,11921 Longwood Garden Way,Houston,77047,TX,USA
https://www.zillow.com/homedetails/6347-Quail-Meadow-Dr-Houston-TX-77035/28271434_zpid/,,House for sale,Single Family,8,210000,No,,,1763,sqft,119.12,5048.6,sqft,2,2,"CB&A, Realtors",,6347 Quail Meadow Dr,Houston,77035,TX,USA
